id_localid,name,x,y,powiat,wojewodztwo
153170140,Smukała,17.963056,53.188056,Bydgoszcz,kujawsko-pomorskie
153170150,Sławianowo,17.131111,53.268889,złotowski,wielkopolskie
153170160,Wiktorówko,17.216389,53.27805599999999,pilski,wielkopolskie
153175510,Sypniewo,17.308889,53.38,sępoleński,kujawsko-pomorskie
153179991,Rynarzewo,17.813889,53.055555999999996,nakielski,kujawsko-pomorskie
153179994,Windorp,17.641389,53.99249999999999,chojnicki,pomorskie
153179995,Rolbik,17.580556,53.927221999999986,chojnicki,pomorskie
153179996,Chociński Młyn,17.448333,53.831388999999994,chojnicki,pomorskie
153179997,Wieczywno,17.308611,53.92,bytowski,pomorskie
153179998,Nowa Brda,17.206944,53.878611,człuchowski,pomorskie
153179999,Koczała,17.0625,53.91416699999999,człuchowski,pomorskie
153180010,Czarna Woda,18.092778,53.841111,starogardzki,pomorskie
153180020,Fordon,18.17,53.146388999999985,Bydgoszcz,kujawsko-pomorskie
153180030,Bożepole Szlacheckie,18.231111,53.976389,kościerski,pomorskie
153180040,Tleń,18.257778,53.61999999999999,świecki,kujawsko-pomorskie
153180050,Błędno,18.347222,53.70166699999999,starogardzki,pomorskie
153180060,Krąplewice,18.380833,53.48944399999999,świecki,kujawsko-pomorskie
153180070,Radziejewo,18.3975,53.915278,starogardzki,pomorskie
153180080,Chełmno,18.415,53.363056,chełmiński,kujawsko-pomorskie
153180090,Toruń,18.607500000000005,53.008055999999996,Toruń,kujawsko-pomorskie
153180100,Grudziądz,18.745278,53.49027799999999,Grudziądz,kujawsko-pomorskie
153180110,Brody Pomorskie,18.760278,53.858332999999995,tczewski,pomorskie
153180120,Hel,18.800556,54.601944,pucki,pomorskie
153180130,Kwidzyn,18.911389,53.722222,kwidzyński,pomorskie
153180140,Elgiszewo,18.928056000000005,53.060832999999995,golubsko-dobrzyński,kujawsko-pomorskie
153180150,Rogóźno 2,18.948889,53.516666999999984,grudziądzki,kujawsko-pomorskie
153185510,Czarna Woda,18.100000000000005,53.84999999999999,starogardzki,pomorskie
153189995,Mątowski Cypel,18.884722,53.913610999999975,kwidzyński,pomorskie
153189996,Bartoszewice,18.797222,53.2775,wąbrzeski,kujawsko-pomorskie
153189997,Osiek,18.491667,53.718889,starogardzki,pomorskie
153189998,Dybowo,18.4625,53.002778000000006,toruński,kujawsko-pomorskie
153189999,Pustki,18.001111,53.87388899999998,chojnicki,pomorskie
153190010,Świecie Nad Osą,19.098056,53.44333299999999,grudziądzki,kujawsko-pomorskie
153190020,Lisnowo,19.135556,53.448611,grudziądzki,kujawsko-pomorskie
153190030,Prabuty,19.199722,53.779166999999994,kwidzyński,pomorskie
153190040,Bągart,19.369167,53.96611099999999,elbląski,warmińsko-mazurskie
153190050,Brodnica,19.400833000000002,53.25527799999999,brodnicki,kujawsko-pomorskie
153190060,Rypin,19.403889,53.06777799999999,rypiński,kujawsko-pomorskie
153190070,Bachotek,19.450833,53.312777999999994,brodnicki,kujawsko-pomorskie
153190080,Iława,19.556389,53.59777799999999,iławski,warmińsko-mazurskie
153190090,Nowe Miasto Lubawskie,19.59,53.422221999999984,nowomiejski,warmińsko-mazurskie
153190100,Dziarny,19.614722,53.57055599999999,iławski,warmińsko-mazurskie
153190110,Skrwilno,19.624722,53.01611099999999,rypiński,kujawsko-pomorskie
